"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 07 14:22:32 CEST 2023","Fri Jul 07 14:22:39 CEST 2023","6521","","Demo tests","","","","My fisrt test",""
"passed","Fri Jul 07 12:24:49 CEST 2023","Fri Jul 07 12:24:51 CEST 2023","1867","","My Login application","","","","should login with valid credentials",""
